mol solvent,mol solute,target Gsolv kcal
Clc2c1ccccc1ccc2,COC(C(F)F)C(F)(F)F,-3.25899462
OCCCCO,COCC(C)(C)C,-2.67581766
CC1CCCC1,SCCCCCCCCC(C)(C)C,-9.9150919
CCCCOC(=O)c1ccccc1C(OCCCC)=O,c(ccc1nc2ccccc2n3)cc31,-10.49777457
Clc2c1ccccc1ccc2,FC(F)CCC(C)(C)C,-4.82909378
C1CCCC1,COCCOCCOCCOCCOCCOCCOCCOCCOCCOC,-20.187913899999998
C(CC2)CCC2c1ccccc1,CCN(CC)C1CCCCC1,-6.99033716
OCCC(O)C,CCCCCCCOC(=O)c1ccccc1C(OCCCCCCC)=O,-13.80637479
CC(C)C(C)C,CCOC(CC)OCC,-5.15281688
CCNC=O,CSBr,-4.43647584
OCc1ccccc1,CN1OCCC1=O,-7.58450423
CCOCC,CN(C)c1ccc(cc1)N=CN(C)C,-12.13269614
CCNC(C)=O,CCCCCC1OC(CCC1C)=O,-10.5363038
N#CCc1ccccc1,O2CCOCCOc1ccccc1OCCOCC2,-14.603984200000001
COC(CC#N)=O,ClS(Cl)(=O)=O,-4.45493939
OCCCC,CCC(C)c2c1ncccc1ccc2,-9.33778867
CC(C)c(cc1)ccc1C,CCC(O)(C)CCC=C(C)C,-8.10709272
CCC(C)c1ccccc1,CC(C)(C)C(C(C)(C)C)C(C)(C)C,-7.774482400000001
CCCCN(CCCC)CCCC,CC(C)(C)c1ccccc1O,-8.35274494
n1ccccc1,Cc1ccc(cc1)S(=O)(=O)NS(c(cc2)ccc2C)(=O)=O,-23.44659581
NC(C)C,c(ccc1cc2sc3)cc1cc2c3,-10.61454676
NCCCN(C)C,CCCCOc1ccccc1,-7.69783498
CC(Cl)Cl,OC(=O)c1ccccc1O,-8.49670471
CNC(C)=O,CNC(=O)NN,-10.90271457
CCCOCC(O)C,C=CC(OCCOC(=O)C=C)=O,-7.96507617
S=C=S,FC(F)(F)N=C(F)F,-1.63424247
NCC,CC(=C)c(cc1)ccc1O,-13.96675334
CC(C)(C)c1ccccc1,CCC#CC,-3.3048382000000007
CCCCc1ccccc1,FC(F)C(F)(F)C(F)(O)C(F)(F)F,-3.51518963
CCC(C)c1ccccc1,CCC(C)CCC(F)(F)F,-4.66754124
OCCS,CSC(F)Cl,-4.43044266
CN1CCCC1,O=C(Oc1ccccc1)N,-10.69802491
OCCOCCCC,CN3C(CCCC3CC(O)c1ccccc1)CC(=O)c2ccccc2,-18.85888832
CCN(=O)=O,FC(F)OC(F)(F)C(F)(C(F)(F)F)C(F)(F)F,-1.79765965
CC(Br)Br,FC(F)C(F)(F)C(F)(F)C(F)(F)C(F)F,-2.95708909
CC#N,CCOc1ccccc1C(O)=O,-12.36389795
N#CCCOCCC#N,FC(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F,1.00446786
Cc2c1ccccc1ccc2,CCCCCCOC(C(C)CC)=O,-8.2062372
CCC(O)CC,N#CC(c2ccccc2)=C1CCCCC1,-11.21016067
C(c2ccccc2)c1ccccc1,CCOc1ccc(cc1)NC(C)=O,-11.97375423
CNC(C)=O,OC(C)(C)CCCC(C)CC=O,-11.23367413
O=N(c1ccccc1)=O,CC1=C(C)NC(S1)=S,-12.49632396
CC(C)(C)c1ccccc1,Clc1cccc(Cl)c1Cl,-7.4259862000000005
OCCCCCCCCC,O=C(c1cc2)NCc1cc2,-10.83956078
C(CC2)CCC2c1ccccc1,Brc2ccc(cc2)N=C(c1ccccc1)Nc(cc3)ccc3Br,-19.27037045
COC(C)=O,CCC(CC)C(C)(C)C,-4.20242926
O=S=O,CCSC,-4.54511974
Clc2c1ccccc1ccc2,FCC(C)=O,-3.67650997
OCc1occc1,FC(F)(C)C(F)(F)Cl,-2.43530681
ClC(Cl)Cl,Nc1ccc(C)cc1,-7.68015314
FC(F)C(F)C(F)(F)F,CC#CC,-2.89335765
CCOc1ccccc1,OC(=O)Cc(cc1)ccc1N,-11.61608924
CC1OC(OC1)=O,C1CC=CCC1,-3.09646019
CCOC(C)=O,FC1CCCC1,-3.97938178
CN1CCCC1=O,CCC(=O)Nc(ccc1Cl)cc1Cl,-15.75288693
ClCCCl,Fc1ccccc1C(=O)NO,-9.44919188
CCCCCCCCBr,FCC=CCl,-3.56268241
OCCCCCC,CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,-2.79302591
CN1CCCC1,CC(C)C(F)(C)C,-4.30643164
CCCCCCCCCCCCC,FP(F)F,0.05298633
CC(C)C(C)C(C)C,OC(C)CCC=C,-4.76139745
OCc1ccccc1,N#CCN1CCCCC1,-8.31577158
CN(=O)=O,OCCN(CC)c1ccccc1,-10.34095867
O=S=O,CCCCCCC1OC(CC1)=O,-11.62077775
CC1CCCCC1,CCOC(C)C(F)F,-3.72416683
CCCC(C)CC,Clc1ccccc1c(cccc2Cl)c2Cl,-10.51403713
Cc1ccccc1,CCCCCCCCCC1CCCC1,-9.40637256
Cc1ccccc1N(=O)=O,c(ccc41)cc1ccc3c4[nH]c5c3ccc2ccccc52,-17.70606518
Oc1cc(C)ccc1,FC(F)(F)C(O)OC(C(F)(F)F)=O,-4.87349511
N1CCCC1,CCS(CC)(=O)=O,-8.23665222
COC,CCCC(C)(C)CCC,-5.37578204
CCCCC(C)=O,CC(C)(Cl)C=O,-5.16964722
CC(C)C(C)C,OC(C)(C)C(C)=O,-4.56343674
OCCCCCC,FC(C)C(F)(F)C(F)(F)O,-8.58222701
CC(C)C(C)C(C)C,Fc3c(F)c(F)c(Nc2c1ccccc1c(cc2)N(=O)=O)c(F)c3F,-13.23207993
CCC=C,FC(F)(C)C(F)(F)C(F)(F)C,-4.0746271
c1cscc1,Fc1ccc(cc1)NC(C)=O,-10.4694142
CCN(CC)CC,FCC(=O)NC,-4.5500177000000015
CCC1OC1,CCCCCCn1ccnc1,-10.11676226
COC(CC#N)=O,FC(F)(C)C(F)(O)C,-6.1153585999999995
C(CC2)CCC2c1ccccc1,CCC(CC)CC(F)(F)F,-4.47117763
CCCCCCCl,CCCCCCCC(C)OC(CCC)=O,-9.55991447
Cc1nc(C)ccc1,ICl,-3.91791971
CC(C)c(cc1)ccc1C,CCCCCCCCCCBr,-8.92242067
CNC=O,Brc1cc(ccc1)N(=O)=O,-8.56104826
CCCCCCCCCCCCCC,CC(C)C2C1C=C(C)CC=C1C(C)CC2,-9.15580878
CC(C)(C)CC(C)CC(C)(C)CC(C)(C)C,CCOc1cc(ccc1C(OC)=O)NC(C)=O,-11.3211653
COP(OC)(OC)=O,FC(F)(F)OC(F)(F)C(F)(OC(F)(F)F)C(F)(F)F,0.65621304
CCC(C)C,COc1cc(C(C)C)ccc1C,-7.85326674
ClB(Cl)Cl,CC1=CC=C(CC1)C(C)=C,-7.16718221
Cc1cccc(C)c1C,C2CN1CCCC1=NC2,-7.92890774
CCBr,NCc(cc1F)cc(F)c1,-7.19068493
CCCCCCCCCCCCCCC=C,CC(CCC=C(C)C)CCOC(=O)C(C)=CC,-10.28404948
ClC(Cl)Cl,CCC(C)C(OCCC=CCC)=O,-9.1754299
ClC(Cl)C(Cl)Cl,FC(F)(F)C(Cl)=C(F)F,-2.02840775
CC(OCc1ccccc1)=O,Oc1ccc(O)c(C)c1C,-12.20497941
CCOCC,OC(=O)c1cc(O)ccc1O,-14.94966291
CCCCCCCCC=C,CCCCCCCCCc1ccccc1O,-11.82937701
O(c2ccccc2)c1ccccc1,FC(Br)=C,-2.52371342
C=CC=C,CSCCCCC#N,-9.1196649
CCCCN(CCCC)C=O,Cc1ccc(C=O)cc1,-7.60691681
CCCC(C)CC,Cc(ccc1C)cc1C,-6.18111712
c1cscc1,CCNC(=O)NCC,-9.43762605
COP(OC)(OC)=O,OC(C)(C)CCC1CCCCC1,-8.82079312
CC(C)CC(C)(C)C,FS(F)(F)(F)(F)F,-1.12154997
CCOC(C)=O,OC(CCCC=C)=O,-8.72997457
CNC(C)=O,Clc1cc(Cl)cnc1,-6.22849857
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,O=N(=O)c1cc(cc(c1)N(=O)=O)C(=O)N,-7.44661229
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,OCCNCCO,-4.94643324
O=N(c1ccccc1)=O,CC(C)(C)N=Cc1ccccc1,-8.22194063
COCCOC,CCCC(F)(F)CC,-4.46513799
OCCCCCCC,OCC(C)COC2CC(CCC21C)C1(C)C,-11.573979199999998
CNC=O,Brc1cncnc1,-6.52497428
COCCOCCOCCO,ON(C)C,-5.38114286
CCCCCCCCBr,CCC(C)(C)C(CC)(C#N)C#N,-8.50382421
CC(C)c1ccccc1,FCC(C)(C)C(F)(F)F,-3.3994226999999997
CCN(CC)C(C)=O,OCCOCCOCCCCCC,-9.8672492
CCCC(C)CC,Fc1ccc(F)cc1,-4.02305616
CCCCC,Clc1cccc(Cl)c1C#N,-7.48432954
CCCCCCCCN(CCCCCCCC)CCCCCCCC,COc6ccc(cc6)N=P(N5CCCC5)(N4CCCC4)N=P(N3CCCC3)(N2CCCC2)N1CCCC1,-21.13262773
CCC(C)Cl,FCBr,-3.24386253
C(CCc1cc2)Cc1cc2,OC(COC(C)=O)=O,-6.27128798
C1OC1,OC(C)(C)CCCC(C)CC(n2ccc4c2cccc4)n1ccc3c1cccc3,-24.40613522
CCC(C)Cl,CCCC1CCCCC1=O,-7.74399737
OCCOCCOCCCC,COC(F)(F)CCl,-4.30611366
CCCCOCCCC,CC(=O)c(cc1cc2)oc1cc2,-8.4685244
CC(CC(C)=O)=O,CCCCC(=O)N(C)C,-7.36441329
CC(Br)Br,OC(=O)c1cc(C(O)=O)ccc1,-10.88206193
CCN(CC)CC,O=CNc1ccccc1,-9.28811939
OC(C)C,CC1(C)C(CCC1(C)C(O)=O)C(O)=O,-16.14973496
ClC(=C)C=C,ClC(CCC(Cl)=O)=O,-6.9576715
CCCC(C)CC,CCCCCCCCCCCC(C)C,-9.37636446
CCCCCCCCCCCCC,O=C5C6CN(CC5CN(C6)C(c4ccccc4)c3ccccc3)C(c2ccccc2)c1ccccc1,-22.52891902
OCCCCCCC,CC(C=O)Cc(cc1)ccc1OC,-9.3417167
ClC(Cl)C(O)=O,Clc2c(Cl)c(Cl)c(c(Cl)c2Cl)c(c(Cl)c1Cl)c(Cl)c(Cl)c1Cl,-13.88930762
CCCCCCCC=C,FC(F)(F)C(F)(F)C(O)(C)C(F)(F)F,-3.64248112
OC(C)=O,BrCC(F)(F)Br,-4.59649926
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CCOC(F)(OC)C(F)(F)F,-2.76919981
CC(C)=O,CCOC(=O)C(C#N)c(c(F)c1F)c(F)c(F)c1C(F)(F)F,-10.93986541
CC=O,O[PH](=O)c1ccccc1,-13.98629575
CO,FC(F)(F)OCC(F)(F)C(F)C(F)(F)F,-3.43599159
CCCCN(CCCC)C=O,CCC=Cc1ccccc1,-7.32058064
OCC,N#CC(c(c(F)c2F)c(F)c(F)c2F)c(c(F)c1F)c(F)c(F)c1C,-10.62250527
CC(C)CCCC(C)CCCC(C)CCCCC(C)CCCC(C)CCCC(C)C,COC1=CC=CC(CC2=CNC3=C2C=CC=N3)=C1,-11.84459365
CCOc1ccccc1,Clc1ccc(cc1)N=C(C)Nc(cc2)ccc2Cl,-16.35337471
CCCCOC(=O)c1ccccc1C(OCCCC)=O,ClC(C1CCCCC1)=O,-6.42745455
Fc1c(F)c(F)c(F)c(F)c1F,OC(=O)c(c(C)cc1C)c(C)c1C,-9.27176481
CCNC(C)=O,ClCOC(F)C(F)F,-4.94024083
CCCCOCCCC,Cc1ccc(cc1)S(=O)(=O)NS(c(cc2)ccc2C)(=O)=O,-18.6636396
CC(Br)Br,SCCCCCCS,-8.99106374
FCCCCCCCC,CC(C2)OC(OC2(C)C)Cc1ccccc1,-10.37572242
OCCCCCCCCCCCC,Oc(cc1Cl)c(Cl)c(Cl)c1O,-10.35745468
NCCC,CC(C)C(F)C(F)(F)F,-3.63269008
COCCOCCOCCOC,CC(C)C(CC1C(C)=O)CC=C1C,-8.43126767
ClB(Cl)Cl,C1CSCSC1,-7.17558331
CCCCCN(CCCCC)CCCCC,CCc(cnc1)nc1C,-6.17578847
OCC(C)C,CCCOP(OCCC)(OCCC)=O,-10.82071382
Ic1ccccc1,CC(=O)N1CCCC1,-8.45450809
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,CC(C)N=C=NC(C)C,-3.8920627999999997
CC1OC(OC1)=O,FCC(OC)C(F)C(F)(F)F,-4.49349534
CCC(O)CC,N#CC(c(c(F)c2F)c(F)c(F)c2C)c(c(F)c1F)c(F)c(F)c1C,-11.81088782
Ic1ccccc1,COC(=O)c1ccccc1OC,-9.36313341
C(CCc1cc2)Cc1cc2,c(ccc1c(c6)c2c4c3c6cccc3c5)cc1c2ccc4c5,-15.72257086
CCCCC=C,CCCCSSCCCC,-8.37492664
OCCCCC,Cc1ccc(C)c(C)c1C,-6.64556409
CC=O,COc1cc(C)cc(OC)c1O,-10.93396209
OCC,COCC=C,-3.33592715
ClC(Cl)=C(Cl)Cl,FC(F)C(F)(F)C(Cl)Cl,-3.63454087
CCNC(C)=O,COCC#C,-3.71989052
OCCC(C)C,COC(F)(C(F)C)C(F)(F)C,-4.50645859
CN(C)P(=O)(N(C)C)N(C)C,FCC=O,-3.98334695
CC(C)=O,CCC(Br)C(O)=O,-10.42981979
OCCCCCCCCCC,CC(=O)c2n(=O)c1ccccc1n(=O)c2C,-11.57764006
N1CCCCC1,Cc2cccc3c2n1cnnc1s3,-13.69916833
OCCN,OC(=O)c(cc1cc2)oc1cc2,-13.33399233
N1CCCCC1,CCC1(CC)C(=O)NC(=O)NC1=O,-16.1811543
ClC(Cl)=C(Cl)Cl,CCC(C)CBr,-5.09631291
CC(C)(C)CC(C)=C,CC(C)(C)SSC(C)(C)C,-7.40191341
O1CCCCC1,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,-11.77496348
CCCCCCCCCCCCCCC=C,Brc2ccc(cc2)N=C(C)Nc1ccccc1,-13.72591301
O=N(c1ccccc1)=O,Ic1ccccc1,-7.15263793
COC(OC)=O,CCCCCC#C,-4.48015225
O(Cc2ccccc2)Cc1ccccc1,COC=CC=C,-4.07470863
CCC=C,CC(C)CCC(C)(C)C,-5.62727352
CCC(C)=O,FCCN(C)C(C)(C)C,-5.54180999
CCNC(C)=O,Fc1ccc(F)c(C)c1F,-4.518637
OCCC(O)C,CCCCCCCCCCCCCCCC(OCC)=O,-10.14856428
OCCC(C)C,OCc1cccnc1,-10.08604579
Cc1cc(C)ccc1,CN(C)CC(F)C(F)(F)F,-4.40026225
CCCCCCCCCCCC,ONC(=O)c1ccccc1N(=O)=O,-8.12180916
CCCCNCCCC,Oc1ccc(cc1)N(=O)=O,-14.36587793
C(C=Cc1cc2)c1cc2,O=c1[nH]c(cc[nH]1)=S,-11.13880109
Oc1cc(C)ccc1,[H][H],0.54408504
Cc1ncccc1C,OCC(OC1(O)CO)C(O)C1O,-17.08741147
CCc1ccccc1,COC(F)(F)C(F)(F)Cl,-3.38969401
O=S1(CCCC1)=O,CCOc1ccccc1N,-8.9556437
CCCCCCCCCCCCCCCC,Cc1ccc(Br)cc1,-6.19764055
OCC(C)C,CC(C)c1ccccc1O,-9.68891593
ClCBr,CCCC(C)C(OCC(COC(C(C)CCC)=O)(COC(C(C)CCC)=O)COC(C(C)CCC)=O)=O,-23.61190908
OC(C)=O,FC(C)C(F)(F)Cl,-2.86392937
CN1CCCC1=O,FCCC(Cl)(Cl)Cl,-5.91932059
CC(C)C,NS(=O)(=O)C1=NN=C(S1)C1=CC=CC=C1Cl,-13.64793232
CN(C)C(C)=O,OC(C)C(C)=O,-6.38636668
CCN(=O)=O,CC(OCC1CC=C(CC1)CCC=C(C)C)=O,-10.97108328
CCC(C)Cl,NN1CCOCC1,-6.70122748
CCOP(OCC)(OCC)=O,COc1cc(OC)ccc1,-7.67486018
OCCCO,S,-2.17221585
Cc1ccccn1,CC(=O)c1ccc(O)cc1O,-14.72432803
OCCN,CCOc(cc1)ccc1F,-5.421542400000001
CCCCCCCCCCC,CCCC=Cc1ccccc1,-7.56296893
OC(C)=O,CC1CC(C)CC(C)C1,-3.75077741
NCCCN,OCCC(F)(F)F,-8.24258435
CCCCC(CC)=O,C#CCN(CC#C)CC#C,-7.31630426
C(C=Cc1cc2)c1cc2,Cc1cccc3c1sc2c3cccc2C,-11.65549933
ClCCCl,OCCNCCO,-8.70833628
N1CCCCC1,CN(C)S(c1ccccc1)(=O)=O,-10.73736775
CC(=O)c1ccccc1,CCOCC1OC1,-5.33613589
O,COCC=C,-1.70763635
COCCOCCO,C1NCCCNCCNCCCNC1,-13.56130759
N#CCCCC#N,N#CC1=NC=CC(=C1)C1=NNC(=N1)C1=CC=NC=C1,-20.11475099
CCCC#N,C=CCC1CCCCC1,-5.07901088
CCCC,CNS(c1ccccc1)(=O)=O,-8.500893699999999
ClB(Cl)Cl,O=C1C2CCC1CC2,-6.12957217
OCC(O)CC,O=O,0.36453693
Cc1ccccn1,FC(F)(F)C(F)=C,-1.76012726
CC(C)CCC(C)(C)C,COC1=CC=C(\C=C\C(=O)OCCC(C)C)C=C1,-11.98832339
CCOC(C)(C)C,O=C(N)NC(=O)N,-10.04306287
CCCCl,CO,-2.78443635
CC(CC1)CS1(=O)=O,FCC(F)C(F)(C)Cl,-4.82316034
OCCCCCCCC,C(C(CC5C2C94)CC72C8C3C6CC(CC4C6C7)CC93CC51)C81,-11.46038135
C#N,O=P1(O2)OP(OP2(O3)=O)(OP3(O1)=O)=O,-15.0755552
CCOP(OCC)(OCC)=O,Clc1ccc(cc1)C(=O)NO,-13.36937903
OCCCO,FC(F)C(Cl)(Cl)C(F)F,-3.14687907
OCCCC,CC1C=C(C)CCC1C=O,-6.71005888
CCN(=O)=O,FC(F)(F)OC(C)C(C)(C)C,-3.95806825
CCCCOC(C)=O,COc(cn1)sc1C,-7.51317027
CCCCCCCC(OC(COC(CCCCCCC)=O)COC(CCCCCCC)=O)=O,FC1CCCNC1,-4.79618189
CCNC=O,O=N(=O)C(COC(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(OCC(N(=O)=O)(N(=O)=O)N(=O)=O)OCC(N(=O)=O)(N(=O)=O)N(=O)=O)(N(=O)=O)N(=O)=O,-19.13695132
CCCCOC(=O)c1ccccc1C(OCCCC)=O,FC(F)(F)C(F)C(F)(F)N,-4.84746111
OCc1occc1,CC(C)(C)OC(=O)C(C)=C,-5.5108489
CCC(O)CC,CC2Cc1ccccc1CC2,-7.27407625
CC(C)(C)CC(C)=C,CCCCC(C)C(OCC(COC(C(C)CCCC)=O)(COC(C(C)CCCC)=O)COC(C(C)CCCC)=O)=O,-20.54847764
Brc2c1ccccc1ccc2,CCOC(C(C)Cl)=O,-5.89930485
CNC=O,Oc(ccc1N(=O)=O)cc1O,-14.68769383
C(CC2)CCC2c1ccccc1,FC(F)(F)C(N)(N)C(F)(F)F,-3.48260005
COCCOCCO,CCCCCCCCCC(OC(C)C)=O,-8.03111709
CCCCN(CCCC)CCCC,c2nc1nc[nH]c1cc2,-11.41112483
CC(C)c1ccccc1,NC1=NNC2=CC=C(C=C12)C1=CC=CC=C1,-13.96801518
c1cscc1,ClC(OCC=C)=O,-5.69691312
CC(C)OC(C)C,CC(C)(C)C(OCCC(C)=C)=O,-7.07082677
C1CCCCC1,FC(F)(F)C(O)(C)C,-3.20300946
CCCCC,CCCOC(=O)Nc1ccccc1,-9.08884088
CCCCN(CCCC)CCCC,c(cc1)ccc1c3c2ccccc2ccc3,-10.93931357
CCCC=O,CCC(F)C(F)(F)C(F)(F)F,-3.40475188
CCCCN(CCCC)CCCC,C=CC2CC1OC1CC2,-5.55481849
CCCC(C)=O,CC=C1CCCCC1,-4.92420056
Brc1ccccc1,Cc1cccc(C)c1N,-7.84364645
OCCOCC,Cc1coc(C)c1F,-4.24942391
c1cscc1,CCCSCC,-5.8400418
CCCC#N,CC(=O)c1cc(C)ccc1O,-8.74019002
CC1CCCCC1,OC(=O)Cc(ccc1)cc1C,-7.59594318
CCCCCCCCCCCC,NCCC,-2.6074167
CC(C)C,FC(F)(F)OC(C(F)(C)C(F)(F)F)=O,-3.19023
CCCCCCCCC,COC(C)(C)C(F)F,-3.41604005
CCCCCC#N,Nc2ccc(Nc1ccccc1)cc2,-14.28149711
CCCCCCCCC=C,c(ccc1nc2)nc1cc2,-7.47372954
O=S1(CCCC1)=O,ICl,-3.54695494
OCCOCC,CCCCc1occc1,-5.61757001
FC(F)C(F)C(F)(F)F,COP(OC)(=O)OC(C)=CC(OC(C)c1ccccc1)=O,-16.58625796
OC(C)=O,Clc1cc(Cl)c(Cl)c(c1Cl)N(=O)=O,-8.26534243
BrC(Br)C(Br)Br,Oc1nc(Cl)c(Cl)cc1Cl,-9.19697141
OCCCCCCC,CC(C)COC(CCC)=O,-5.97443696
CN(C)P(=O)(N(C)C)N(C)C,CC(C)(C)N=Cc1ccc(cc1)N(=O)=O,-11.58704431
c1ccccc1,CCCN(CCC)c1c(cc(C(F)(F)F)cc1N(=O)=O)N(=O)=O,-14.06927175
OC1CCCCC1,O=C(Cc2ccccc2)c1ccccc1,-10.94466441
C=CC=C,CCSCC(O)=O,-7.774515099999999
CCC1OC1,OCC1=CNC2=CC=CC=C12,-12.69563796
COP(OC)(OC)=O,C=CCC=C,-2.54399681
CCCCOCCCC,CCc1nccnc1C(C)=O,-7.75463026
ClC(Cl)Cl,CCC2(CCC(=O)NC2=O)c1ccccc1,-13.53974028
CCCCOC(=O)c1ccccc1C(OCCCC)=O,CCOC(=O)C2(CCN(C)CC2)c1ccccc1,-11.403646400000001
COCOC,Oc1cc(C)cc(C)c1,-9.69579839
CC(OCc1ccccc1)=O,OC(N)C(Cl)(Cl)Cl,-8.40222719
O=N(c1ccccc1)=O,O=C(C2(C3)CC(CC1C2)CC3C1)N,-11.42955037
O=C1CCCC1,Fc1cccn1F,-3.76722177
CC(=O)c1ccccc1,Cc2ccc(cc2)N=C(C)N(C)c1ccccc1,-12.99359204
CCC=C,CCCN(CC)CC,-5.19381868
COC(C)=O,CCOCCOC(=O)C=C,-7.40407562
O=Cc1occc1,CC(C)CCC(C)(C)CC,-4.454111900000001
CCN1CCCC1=O,NC1=NC(CCC2=CC3=C(C=CN3)C=C2)=CC(=O)N1,-27.68359192
CCI,CCC(F)(C)C(F)(F)F,-3.4373748999999996
FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,FCCOC(F)(F)C(F)F,-2.76077145
CCCC(C)CC,CC(C)(C)N(=O)=O,-4.24051062
C(CC2)CCC2c1ccccc1,CCCCC(=O)c1occc1,-7.95552485
CCCCNCCCC,CCC(CC)=O,-4.28060492
N#CCCCC#N,OC(C)CCC1=C(C)CCCC1(C)C,-9.19156555
CCCCCC,OC(C)C(Cl)(Cl)Cl,-5.40411884
CCNC=O,CCOc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,-13.85264134
ClC(Cl)(Cl)Cl,FC=C,-1.02072722
CN1CCCC1=O,Brc1ccc(cc1)N=C(C)N(C)c(cc2)ccc2Br,-17.186679
C(c2ccccc2)c1ccccc1,OC(CNCCC#N)=O,-10.66552734
CCOCC,Oc2cccc3c2C(=O)c1ccccc1C3=O,-12.45876884
ClCC(C)C,N#CCNCC#N,-9.23673092
CCCCN(CCCC)C=O,Fc1ccccc1Cl,-5.70646386
OCCCC,COc(cc1)ccc1O,-10.05080089
C(CC1)CCC1C2CCCCC2,CCCCCCCCCCCCCCCCC(=O)N1CCOCC1,-16.90378281
CCOC(C)=O,CC(C)C#N,-5.32644466
Cc1cccc(C)c1C,CCC(Cl)(Cl)N(=O)=O,-5.69542965
COC,OC(C)c(cc1)ccc1C,-9.55053394
ClC(Cl)C(Cl)Cl,CN(C)C(=O)NN,-8.99916544
OCCCCCCCCCCCC,BrCBr,-4.35573238
CCCCCCCCCCCCCC,OCC(N)C,-3.45028892
NCCN,CCC(C)(C)C(Cl)=O,-3.67644617
COC(OC)=O,O=C(OCCc1ccccc1)Cc2ccccc2,-13.25053944
CCCOCC(O)C,ClCCCC(C)Cl,-6.30567748
CC(=C)C#C,O=C(c1ccccc1)C(c2ccccc2)=O,-12.73635768
OCCS,FCCC(F)(F)C(F)(F)CCF,-5.19724456
CCC(C)=O,SCCOCCS,-8.42784467
CC(C)C,OOC(C)(C)C,-3.82617464
CC(=O)c1ccccc1,CCCSC(C)C,-5.62951399
COP(OC)(OC)=O,CCCCCCCC=CC=O,-7.90606529
Fc1ccccc1,COC(=O)Cc1ccccc1,-8.45849158
CCOC(OCC)=O,CN(N(=O)=O)N(=O)=O,-6.45005212
CCC#N,OC(CCCN4CCC(CC4)C(O)(c2ccccc2)c1ccccc1)c3ccc(C(C)(C)C)cc3,-26.58312317
CCCCCCCCCCCCCCC,COC(C(C)C)=N,-3.8118468
CCC(C)C,CCC1=CCCC1,-4.6960955
Fc1ccccc1,Fc1cccc(F)c1C#N,-7.18037516
CS(C)=O,C=Cc1cc(C=C)ccc1,-6.63863709
CCCCN(CCCC)C=O,O=NN1CCN(CC1)N=O,-11.00928543
CCCCCl,CNS(c1ccccc1)(=O)=O,-11.34859562
CCC(C)c1ccccc1,N#CSC#N,-4.46887565
CCN(=O)=O,CC(C)Cc1nccnc1OC,-7.59078758
CCCCCC(C)=O,Fc1ccoc1O,-8.46566095
Ic1ccccc1,COCC(C)Cl,-4.91084381
CCCCOC(=O)c1ccccc1C(OCCCC)=O,COC(Cl)(Cl)C(F)F,-4.80886206
OCCCCC,S(SC1=NC2=CC=CC=C2S1)C1=NC2=CC=CC=C2S1,-17.13169068
Cc1ncccc1C,O=N(=O)c1sccc1,-8.50841055
OCCS,FC(F)(F)C(F)(C(F)(F)F)C=O,-1.83940769
COCCOC,CC(C1)CC(CC1(C)C)=O,-7.54878631
CCOP(OCC)(OCC)=O,CCCCCC=CC=CCO,-9.761624099999999
CCCCCCC,FC(F)(F)c(cc1)ccc1N,-6.19656625
CCCCCC,O=C1CCCCC1,-5.10929976
CCC(O)(C)C,FCCCBr,-4.44055074
C#N,COP(OC)(OC)=S,-8.18229616
O=CN,ClC(Cl)(C#N)C#N,-3.37130584
Clc2c1ccccc1ccc2,Cc1ccc(cc1)N(=O)=O,-8.38076699
OCCCCCC,CCCC(F)(F)O,-6.81847812
CCCCOCCCC,Cc1ccccn1=O,-6.38960929
N#CCCCCC#N,CCC=C(O2)c1ccccc1C2=O,-9.60333748
C(CCc1cc2)Cc1cc2,CCCCCC(=O)N1CCOCC1,-10.326891900000001
CCC(O)CC,CCCOC(CC(C)C)=O,-6.1664162000000005
CCC(C)(C)C,CN1CCN(C)C1=O,-6.03141955
n1ccccc1,FCOCCCC,-4.70221323
OCCCCCCCCCCCC,FC(F)(F)C(F)C(C(F)(F)F)C(F)(F)F,-3.0664012
Cc1nc(C)ccc1,O=C2c1ccccc1C(O2)=O,-9.47859795
CCC(C)=O,FC(F)(F)C(F)(F)C(C(C)C)=O,-3.70968688
CCC=C,Nc1ccc(Br)cc1,-8.54221296
O=S=O,CCCc1ccncc1,-8.11500766
Cc2c1ccccc1ccc2,c(cc1ccc3ccc4c5)cc6c1c3c4c2c6cccc2c5,-15.84660989
CC(C)c1ccccc1,OC(=O)c(cc1C)c(C)cc1C,-9.19877589
N#CCCCC#N,N=P(N3CCCC3)(N2CCCC2)N1CCCC1,-11.66507225
CC(C)CC(C)C,CC(OC(C)=O)OC(C)=O,-5.4605966
